"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","29","All Endponts for QA","Secure","Insurance","","","Create  Insurance - invalid farmerId",""
"failed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","195","All Endponts for QA","Admin","Login User Types","","","VIEWER - Admin Login",""
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","29","All Endponts for QA","Secure","Claim","","","Get Claim - For Single Farmer - successul",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","28","All Endponts for QA","Farmer","Claims","","","Delete all claims",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","28","All Endponts for QA","Farmer","Get Farmers","","","Get Farmer by Yemert ID - ID does not exist",""
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","27","All Endponts for QA","Secure","Insurance","","","Get Insurance - For Single Farmer not found",""
"passed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","193","All Endponts for QA","Admin","Authentication","","","Admin Login - Successful",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","29","All Endponts for QA","Farmer","Claims","","","Delete all claims for a farmer",""
"failed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","31","All Endponts for QA","Admin","Create Admin","","","Create Admin - No email",""
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","30","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no farmerId",""
"passed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:36 GMT 2025","25","All Endponts for QA","Secure","Market","","","Update a specific market for a farmer Copy",""
"passed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","25","All Endponts for QA","Secure","Market","","","Create  Market",""
"failed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","123","All Endponts for QA","Admin","Authentication","","","Admin Login - Invalid credentials",""
"failed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","34","All Endponts for QA","Admin","Authentication","","","Admin Login - Long Password",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","31","All Endponts for QA","Admin","Get Admins","","","Get Admin details - successful",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","32","All Endponts for QA","Farmer","Register Farmer","","","Single Farmer Registration - All Fields Passed - Successful",""
"passed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","25","All Endponts for QA","Secure","Claim","","","Create  Claim - successful",""
"failed","Mon Jul 28 21:09:32 GMT 2025","Mon Jul 28 21:09:32 GMT 2025","425","All Endponts for QA","Admin","Login User Types","","","SUPER_ADMIN - Admin Login",""
"passed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:33 GMT 2025","36","All Endponts for QA","Admin","Authentication","","","Admin Login - No ID Password",""
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","28","All Endponts for QA","Secure","Insurance","","","Create  Insurance - invalid cost of production amount",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","26","All Endponts for QA","Secure","Insurance","","","Get Insurance - All",""
"failed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","27","All Endponts for QA","Secure","Insurance","","","Get Insurance - For Single Farmer",""
"passed","Mon Jul 28 21:09:34 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","285","All Endponts for QA","USSD","","","","Handle Session Requests",""
"failed","Mon Jul 28 21:09:33 GMT 2025","Mon Jul 28 21:09:34 GMT 2025","31","All Endponts for QA","Admin","Create Admin","","","Create Admin - No role",""
"failed","Mon Jul 28 21:09:35 GMT 2025","Mon Jul 28 21:09:35 GMT 2025","30","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no cost of production",""
