"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Delete insurance records for a specific farmer Copy","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","66","Admin Login - No ID Password","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","","Admin","",""
"","145","Get Market - For Single Farmer","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Market","Secure","",""
"","62","Create Admin - No email","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","58","Delete a specific claim record","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","56","Update a specific market for a farmer Copy","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:49 UTC 2025","Market","Secure","",""
"","65","Create Admin - Successful","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","57","Delete all claim records","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","63","Create Admin - No role","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","234","VIEWER - Admin Login","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","58","Get Insurance - For Single Farmer","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","62","Admin Login - No ID","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","","Admin","",""
"","55","Delete claim records for a specific farmer","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","55","Delete market records for a specific farmer","All Endponts for QA","Wed Jul 23 13:08:49 UTC 2025","passed","Wed Jul 23 13:08:49 UTC 2025","Market","Secure","",""
"","55","Register a single Farmer","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","passed","Wed Jul 23 13:08:45 UTC 2025","","Farmer","",""
"","146","Handle Session Requests","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","","USSD","",""
"","57","Single Farmer Registration - Required fields only Successful","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","passed","Wed Jul 23 13:08:45 UTC 2025","","Farmer","",""
"","147","Get Farmer by YEMERT ID","All Endponts for QA","Wed Jul 23 13:08:46 UTC 2025","passed","Wed Jul 23 13:08:46 UTC 2025","","Farmer","",""
"","60","Get Admin details - successful","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","56","A request with out Request Authorization","All Endponts for QA","Wed Jul 23 13:08:49 UTC 2025","failed","Wed Jul 23 13:08:49 UTC 2025","","","",""
"","57","Get Admin details - no authentication","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","61","Admin Login - Short Password","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","55","Delete all farmers","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","","Farmer","",""
"","235","Get Insurance - All","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","536","SUPER_ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 13:08:43 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","62","Create Admin - Invalid email","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","60","Single Farmer Registration - All Fields Passed - Successful","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","passed","Wed Jul 23 13:08:45 UTC 2025","","Farmer","",""
"","156","Admin Login - Invalid credentials","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","","Admin","",""
"","235","Get Claims - All","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","71","Create Admin - user already exists","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","152","Admin Login - Successful","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","148","Get Claim - For Single Farmer","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","62","Admin Login - Invalid ID data","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","","Admin","",""
"","57","Delete a specific market record","All Endponts for QA","Wed Jul 23 13:08:49 UTC 2025","passed","Wed Jul 23 13:08:49 UTC 2025","Market","Secure","",""
"","236","ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 13:08:44 UTC 2025","failed","Wed Jul 23 13:08:44 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","235","Get Market - All","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Market","Secure","",""
"","55","Delete all market records","All Endponts for QA","Wed Jul 23 13:08:49 UTC 2025","passed","Wed Jul 23 13:08:49 UTC 2025","Market","Secure","",""
"","55","Create  Market","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Market","Secure","",""
"","58","Update a specific Insurance for a farmer","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","56","Delete all insurance records Copy","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","61","Admin Login - Long Password","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","68","Create Admin - Not Authenticated","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","failed","Wed Jul 23 13:08:45 UTC 2025","","Admin","",""
"","61","Bulk register farmers","All Endponts for QA","Wed Jul 23 13:08:46 UTC 2025","passed","Wed Jul 23 13:08:46 UTC 2025","","Farmer","",""
"","57","Create  Insurance","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","54","Delete a specific insurance record Copy","All Endponts for QA","Wed Jul 23 13:08:47 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","Insurance","Secure","",""
"","58","Create  Claim","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
"","427","Get All Farmers","All Endponts for QA","Wed Jul 23 13:08:45 UTC 2025","passed","Wed Jul 23 13:08:46 UTC 2025","","Farmer","",""
"","331","Get All Farmers - With pagination","All Endponts for QA","Wed Jul 23 13:08:46 UTC 2025","passed","Wed Jul 23 13:08:46 UTC 2025","","Farmer","",""
"","58","Delete farmer","All Endponts for QA","Wed Jul 23 13:08:46 UTC 2025","passed","Wed Jul 23 13:08:47 UTC 2025","","Farmer","",""
"","56","Update a specific claim for a farmer Copy","All Endponts for QA","Wed Jul 23 13:08:48 UTC 2025","passed","Wed Jul 23 13:08:48 UTC 2025","Claim","Secure","",""
