"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Delete insurance records for a specific farmer Copy","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Insurance","Secure","",""
"","347","Get All Farmers - With pagination","All Endponts for QA","Wed Jul 23 13:08:14 UTC 2025","passed","Wed Jul 23 13:08:14 UTC 2025","","Farmer","",""
"","27","Create  Market","All Endponts for QA","Wed Jul 23 13:08:16 UTC 2025","passed","Wed Jul 23 13:08:16 UTC 2025","Market","Secure","",""
"","27","Single Farmer Registration - Required fields only Successful","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","passed","Wed Jul 23 13:08:13 UTC 2025","","Farmer","",""
"","115","Handle Session Requests","All Endponts for QA","Wed Jul 23 13:08:14 UTC 2025","passed","Wed Jul 23 13:08:14 UTC 2025","","USSD","",""
"","26","Update a specific market for a farmer Copy","All Endponts for QA","Wed Jul 23 13:08:16 UTC 2025","passed","Wed Jul 23 13:08:16 UTC 2025","Market","Secure","",""
"","35","Create Admin - Not Authenticated","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","27","Delete a specific market record","All Endponts for QA","Wed Jul 23 13:08:16 UTC 2025","passed","Wed Jul 23 13:08:16 UTC 2025","Market","Secure","",""
"","212","ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 13:08:12 UTC 2025","failed","Wed Jul 23 13:08:12 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","32","Create Admin - Invalid email","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","201","VIEWER - Admin Login","All Endponts for QA","Wed Jul 23 13:08:12 UTC 2025","failed","Wed Jul 23 13:08:12 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","32","Admin Login - Short Password","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","27","Create  Claim","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Claim","Secure","",""
"","26","Update a specific Insurance for a farmer","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Insurance","Secure","",""
"","117","Get Market - For Single Farmer","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:16 UTC 2025","Market","Secure","",""
"","24","A request with out Request Authorization","All Endponts for QA","Wed Jul 23 13:08:16 UTC 2025","failed","Wed Jul 23 13:08:16 UTC 2025","","","",""
"","27","Delete a specific claim record","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Claim","Secure","",""
"","39","Create Admin - No role","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","398","Get All Farmers","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","passed","Wed Jul 23 13:08:14 UTC 2025","","Farmer","",""
"","207","Get Insurance - All","All Endponts for QA","Wed Jul 23 13:08:14 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Insurance","Secure","",""
"","26","Delete market records for a specific farmer","All Endponts for QA","Wed Jul 23 13:08:16 UTC 2025","passed","Wed Jul 23 13:08:16 UTC 2025","Market","Secure","",""
"","205","Get Claims - All","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Claim","Secure","",""
"","30","Get Admin details - successful","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","116","Get Farmer by YEMERT ID","All Endponts for QA","Wed Jul 23 13:08:14 UTC 2025","passed","Wed Jul 23 13:08:14 UTC 2025","","Farmer","",""
"","26","Get Admin details - no authentication","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","119","Get Claim - For Single Farmer","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Claim","Secure","",""
"","25","Register a single Farmer","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","passed","Wed Jul 23 13:08:13 UTC 2025","","Farmer","",""
"","33","Admin Login - No ID","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","27","Create  Insurance","All Endponts for QA","Wed Jul 23 13:08:15 UTC 2025","passed","Wed Jul 23 13:08:15 UTC 2025","Insurance","Secure","",""
"","25","Delete farmer","All Endponts for QA","Wed Jul 23 13:08:14 UTC 2025","passed","Wed Jul 23 13:08:14 UTC 2025","","Farmer","",""
"","35","Create Admin - No email","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","127","Admin Login - Invalid credentials","All Endponts for QA","Wed Jul 23 13:08:12 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","38","Create Admin - user already exists","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
"","30","Single Farmer Registration - All Fields Passed - Successful","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","passed","Wed Jul 23 13:08:13 UTC 2025","","Farmer","",""
"","35","Admin Login - Invalid ID data","All Endponts for QA","Wed Jul 23 13:08:13 UTC 2025","failed","Wed Jul 23 13:08:13 UTC 2025","","Admin","",""
