"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 31 23:49:11 GMT 2025","Thu Jul 31 23:49:11 GMT 2025","70","All Endponts for QA","Secure","Market","","","Create  Market - postNow not present",""
"failed","Thu Jul 31 23:49:11 GMT 2025","Thu Jul 31 23:49:11 GMT 2025","66","All Endponts for QA","Secure","Market","","","Get Market - For Single Farmer - no farmerID",""
"failed","Thu Jul 31 23:49:04 GMT 2025","Thu Jul 31 23:49:05 GMT 2025","339","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - non-existing InsuranceID",""
"passed","Thu Jul 31 23:49:11 GMT 2025","Thu Jul 31 23:49:11 GMT 2025","68","All Endponts for QA","Secure","Market","","","Create  Market - no FarmerID",""
"failed","Thu Jul 31 23:49:04 GMT 2025","Thu Jul 31 23:49:04 GMT 2025","72","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - no InsuranceID",""
"passed","Thu Jul 31 23:48:54 GMT 2025","Thu Jul 31 23:48:55 GMT 2025","678","All Endponts for QA","Admin","A_Login User Types","","","SUPER_ADMIN - Admin Login",""
"failed","Thu Jul 31 23:49:05 GMT 2025","Thu Jul 31 23:49:05 GMT 2025","72","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - invalid InsuranceID",""
"failed","Thu Jul 31 23:49:04 GMT 2025","Thu Jul 31 23:49:04 GMT 2025","77","All Endponts for QA","Secure","Insurance","","","Create  Insurance - invalid farmerId",""
"passed","Thu Jul 31 23:48:55 GMT 2025","Thu Jul 31 23:48:56 GMT 2025","159","All Endponts for QA","Admin","Authentication","","","Admin Login - Invalid credentials",""
"failed","Thu Jul 31 23:49:04 GMT 2025","Thu Jul 31 23:49:04 GMT 2025","72","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no crop name",""
"failed","Thu Jul 31 23:48:58 GMT 2025","Thu Jul 31 23:48:58 GMT 2025","70","All Endponts for QA","Admin","Get Admins","","","Get Admin details - successful",""
"failed","Thu Jul 31 23:49:10 GMT 2025","Thu Jul 31 23:49:11 GMT 2025","504","All Endponts for QA","Secure","Market","","","Get Market - For Single Farmer - successful",""
"passed","Thu Jul 31 23:49:08 GMT 2025","Thu Jul 31 23:49:08 GMT 2025","72","All Endponts for QA","Secure","Claim","","","Create Claim - no farmerId",""
"passed","Thu Jul 31 23:49:09 GMT 2025","Thu Jul 31 23:49:09 GMT 2025","77","All Endponts for QA","Secure","Claim","","","Update a specific claim for a farmer - no YemertID",""
"failed","Thu Jul 31 23:49:04 GMT 2025","Thu Jul 31 23:49:04 GMT 2025","67","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no amount paid",""
"passed","Thu Jul 31 23:48:58 GMT 2025","Thu Jul 31 23:48:58 GMT 2025","69","All Endponts for QA","Admin","Get Admins","","","Get Admin details - no email or Admin ID",""
"passed","Thu Jul 31 23:48:56 GMT 2025","Thu Jul 31 23:48:57 GMT 2025","987","All Endponts for QA","Admin","Create Admin","","","Create Admin - Successful",""
"passed","Thu Jul 31 23:49:02 GMT 2025","Thu Jul 31 23:49:03 GMT 2025","622","All Endponts for QA","Secure","Insurance","","","Get Insurance - All",""
"passed","Thu Jul 31 23:49:01 GMT 2025","Thu Jul 31 23:49:01 GMT 2025","543","All Endponts for QA","Farmer","Get Farmers","","","Get All Farmers",""
"passed","Thu Jul 31 23:48:55 GMT 2025","Thu Jul 31 23:48:55 GMT 2025","229","All Endponts for QA","Admin","A_Login User Types","","","VIEWER - Admin Login",""
