"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","114","All Endponts for QA","Secure","Claim","","","Get Claim - For Single Farmer",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","28","All Endponts for QA","Secure","Claim","","","Delete a specific claim record",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","125","All Endponts for QA","Admin","","","","Admin Login - Invalid credentials",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","208","All Endponts for QA","Admin","LOGIN ADMIN TYPES","","","VIEWER - Admin Login",""
"failed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","27","All Endponts for QA","","","","","A request with out Request Authorization",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","29","All Endponts for QA","Secure","Insurance","","","Delete insurance records for a specific farmer Copy",""
"passed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","32","All Endponts for QA","Farmer","","","","Single Farmer Registration - All Fields Passed - Successful",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","28","All Endponts for QA","Secure","Insurance","","","Delete all insurance records Copy",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","45","All Endponts for QA","Admin","","","","Create Admin - Not Authenticated",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","199","All Endponts for QA","Farmer","","","","Get Farmer by YEMERT ID",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","27","All Endponts for QA","Secure","Insurance","","","Delete a specific insurance record Copy",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","27","All Endponts for QA","Secure","Claim","","","Delete claim records for a specific farmer",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","26","All Endponts for QA","Secure","Market","","","Delete all market records",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","36","All Endponts for QA","Admin","","","","Admin Login - Short Password",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","33","All Endponts for QA","Admin","","","","Create Admin - No role",""
"failed","Sat Jul 26 22:16:53 GMT 2025","Sat Jul 26 22:16:53 GMT 2025","490","All Endponts for QA","Admin","LOGIN ADMIN TYPES","","","SUPER_ADMIN - Admin Login",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","369","All Endponts for QA","Secure","Insurance","","","Get Insurance - All",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","114","All Endponts for QA","Secure","Market","","","Get Market - For Single Farmer",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","197","All Endponts for QA","USSD","","","","Handle Session Requests",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","27","All Endponts for QA","Secure","Market","","","Update a specific market for a farmer Copy",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","28","All Endponts for QA","Secure","Market","","","Delete market records for a specific farmer",""
"failed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","30","All Endponts for QA","Admin","","","","Get Admin details - no authentication",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","35","All Endponts for QA","Admin","","","","Create Admin - No email",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","27","All Endponts for QA","Secure","Claim","","","Update a specific claim for a farmer Copy",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","28","All Endponts for QA","Secure","Market","","","Create  Market",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","26","All Endponts for QA","Secure","Insurance","","","Get Insurance - For Single Farmer",""
"failed","Sat Jul 26 22:16:53 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","206","All Endponts for QA","Admin","LOGIN ADMIN TYPES","","","ADMIN - Admin Login",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","30","All Endponts for QA","Secure","Claim","","","Create  Claim",""
"failed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","33","All Endponts for QA","Admin","","","","Get Admin details - successful",""
"passed","Sat Jul 26 22:16:58 GMT 2025","Sat Jul 26 22:16:58 GMT 2025","28","All Endponts for QA","Secure","Market","","","Delete a specific market record",""
"passed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","651","All Endponts for QA","Farmer","","","","Get All Farmers",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","367","All Endponts for QA","Secure","Claim","","","Get Claims - All",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","39","All Endponts for QA","Admin","","","","Create Admin - Invalid email",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","27","All Endponts for QA","Farmer","","","","Delete all farmers",""
"passed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","456","All Endponts for QA","Farmer","","","","Get All Farmers - With pagination",""
"passed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","34","All Endponts for QA","Farmer","","","","Single Farmer Registration - Required fields only Successful",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","27","All Endponts for QA","Farmer","","","","Delete farmer",""
"passed","Sat Jul 26 22:16:55 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","28","All Endponts for QA","Farmer","","","","Register a single Farmer",""
"passed","Sat Jul 26 22:16:56 GMT 2025","Sat Jul 26 22:16:56 GMT 2025","31","All Endponts for QA","Farmer","","","","Bulk register farmers",""
"passed","Sat Jul 26 22:16:57 GMT 2025","Sat Jul 26 22:16:57 GMT 2025","28","All Endponts for QA","Secure","Insurance","","","Create  Insurance",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:55 GMT 2025","42","All Endponts for QA","Admin","","","","Create Admin - user already exists",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","41","All Endponts for QA","Admin","","","","Admin Login - Invalid ID data",""
"failed","Sat Jul 26 22:16:54 GMT 2025","Sat Jul 26 22:16:54 GMT 2025","34","All Endponts for QA","Admin","","","","Admin Login - Long Password",""
