"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 27 22:11:55 GMT 2025","Sun Jul 27 22:11:55 GMT 2025","54","All Endponts for QA","Admin","Authentication","","","Admin Login - No ID",""
"failed","Sun Jul 27 22:11:58 GMT 2025","Sun Jul 27 22:11:58 GMT 2025","45","All Endponts for QA","Insurance - new","","","","Update a single insurance record",""
"passed","Sun Jul 27 22:11:57 GMT 2025","Sun Jul 27 22:11:57 GMT 2025","41","All Endponts for QA","Secure","Claim","","","Update a specific claim for a farmer Copy",""
"failed","Sun Jul 27 22:11:57 GMT 2025","Sun Jul 27 22:11:57 GMT 2025","43","All Endponts for QA","Farmer","Claims","","","Delete a single claim",""
"passed","Sun Jul 27 22:11:58 GMT 2025","Sun Jul 27 22:11:58 GMT 2025","42","All Endponts for QA","Secure","Market","","","Create  Market",""
"failed","Sun Jul 27 22:11:57 GMT 2025","Sun Jul 27 22:11:57 GMT 2025","45","All Endponts for QA","Secure","Insurance","","","Get Insurance - All",""
"failed","Sun Jul 27 22:11:56 GMT 2025","Sun Jul 27 22:11:56 GMT 2025","44","All Endponts for QA","Admin","Get Admins","","","Get Admin details - no authentication",""
"failed","Sun Jul 27 22:11:56 GMT 2025","Sun Jul 27 22:11:56 GMT 2025","48","All Endponts for QA","Farmer","Register Farmer","","","Bulk register farmers - successful",""
"passed","Sun Jul 27 22:11:58 GMT 2025","Sun Jul 27 22:11:58 GMT 2025","41","All Endponts for QA","Secure","Market","","","Get Market - All",""
"failed","Sun Jul 27 22:11:56 GMT 2025","Sun Jul 27 22:11:56 GMT 2025","48","All Endponts for QA","Farmer","Register Farmer","","","Single Farmer Registration - All Fields Passed - Successful",""
"passed","Sun Jul 27 22:11:58 GMT 2025","Sun Jul 27 22:11:58 GMT 2025","39","All Endponts for QA","Secure","Market","","","Update a specific market for a farmer Copy",""
"passed","Sun Jul 27 22:11:55 GMT 2025","Sun Jul 27 22:11:55 GMT 2025","51","All Endponts for QA","Admin","Authentication","","","Admin Login - Invalid ID data",""
