"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 28 20:10:18 GMT 2025","Mon Jul 28 20:10:18 GMT 2025","99","All Endponts for QA","Farmer","Claims","","","Delete all claims",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","102","All Endponts for QA","Farmer","Register Farmer","","","Single Farmer Registration - All Fields Passed - Successful",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","100","All Endponts for QA","Admin","Get Admins","","","Get list of admins - successful",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","103","All Endponts for QA","Farmer","Register Farmer","","","Bulk register farmers - successful",""
"failed","Mon Jul 28 20:10:20 GMT 2025","Mon Jul 28 20:10:20 GMT 2025","100","All Endponts for QA","Secure","Insurance","","","Update a specific Insurance for a farmer - non-existent YemertID",""
"failed","Mon Jul 28 20:10:20 GMT 2025","Mon Jul 28 20:10:20 GMT 2025","101","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - non-existing InsuranceID",""
"failed","Mon Jul 28 20:10:16 GMT 2025","Mon Jul 28 20:10:16 GMT 2025","103","All Endponts for QA","Admin","Create Admin","","","Create Admin - No email",""
"failed","Mon Jul 28 20:10:19 GMT 2025","Mon Jul 28 20:10:19 GMT 2025","97","All Endponts for QA","Secure","Insurance","","","Get Insurance - For Single Farmer",""
"failed","Mon Jul 28 20:10:21 GMT 2025","Mon Jul 28 20:10:21 GMT 2025","99","All Endponts for QA","Secure","Claim","","","Get Claim - For Single Farmer - successul",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","97","All Endponts for QA","Farmer","Get Farmers","","","Get All Farmers",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","99","All Endponts for QA","Admin","Get Admins","","","Get Admin details - successful",""
"failed","Mon Jul 28 20:10:18 GMT 2025","Mon Jul 28 20:10:18 GMT 2025","98","All Endponts for QA","Farmer","Get Farmers","","","Get Farmer by Yemert ID - ID exists",""
"failed","Mon Jul 28 20:10:16 GMT 2025","Mon Jul 28 20:10:16 GMT 2025","100","All Endponts for QA","Admin","Create Admin","","","Create Admin - user already exists",""
"failed","Mon Jul 28 20:10:20 GMT 2025","Mon Jul 28 20:10:20 GMT 2025","99","All Endponts for QA","Secure","Insurance","","","Update a specific Insurance for a farmer - invalid YemertID",""
"failed","Mon Jul 28 20:10:21 GMT 2025","Mon Jul 28 20:10:21 GMT 2025","100","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - invalid plan",""
"passed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","99","All Endponts for QA","Admin","Get Admins","","","Get list of admins - no auth",""
"failed","Mon Jul 28 20:10:13 GMT 2025","Mon Jul 28 20:10:14 GMT 2025","1556","All Endponts for QA","Admin","Login User Types","","","SUPER_ADMIN - Admin Login",""
"failed","Mon Jul 28 20:10:14 GMT 2025","Mon Jul 28 20:10:15 GMT 2025","271","All Endponts for QA","Admin","Login User Types","","","VIEWER - Admin Login",""
"failed","Mon Jul 28 20:10:18 GMT 2025","Mon Jul 28 20:10:18 GMT 2025","101","All Endponts for QA","Farmer","Claims","","","Update Claims",""
"failed","Mon Jul 28 20:10:17 GMT 2025","Mon Jul 28 20:10:17 GMT 2025","100","All Endponts for QA","Farmer","Register Farmer","","","Bulk register farmers - validation error",""
