"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Bulk register farmers","All Endponts for QA","Wed Jul 23 13:07:31 UTC 2025","passed","Wed Jul 23 13:07:31 UTC 2025","","Farmer","",""
"","50","Get Admin details - no authentication","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","46","Delete farmer","All Endponts for QA","Wed Jul 23 13:07:31 UTC 2025","passed","Wed Jul 23 13:07:31 UTC 2025","","Farmer","",""
"","230","VIEWER - Admin Login","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","58","Create Admin - user already exists","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","55","Create Admin - Not Authenticated","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","46","Delete a specific insurance record Copy","All Endponts for QA","Wed Jul 23 13:07:32 UTC 2025","passed","Wed Jul 23 13:07:32 UTC 2025","Insurance","Secure","",""
"","51","Single Farmer Registration - All Fields Passed - Successful","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","passed","Wed Jul 23 13:07:29 UTC 2025","","Farmer","",""
"","756","Get All Farmers","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","passed","Wed Jul 23 13:07:30 UTC 2025","","Farmer","",""
"","49","Get Admin details - successful","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","47","Single Farmer Registration - Required fields only Successful","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","passed","Wed Jul 23 13:07:29 UTC 2025","","Farmer","",""
"","227","ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","55","Admin Login - No ID","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","","Admin","",""
"","50","Admin Login - Long Password","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","54","Admin Login - Invalid ID data","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","","Admin","",""
"","44","Register a single Farmer","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","passed","Wed Jul 23 13:07:29 UTC 2025","","Farmer","",""
"","44","A request with out Request Authorization","All Endponts for QA","Wed Jul 23 13:07:33 UTC 2025","failed","Wed Jul 23 13:07:33 UTC 2025","","","",""
"","51","Admin Login - Short Password","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","","Admin","",""
"","48","Update a specific claim for a farmer Copy","All Endponts for QA","Wed Jul 23 13:07:32 UTC 2025","passed","Wed Jul 23 13:07:32 UTC 2025","Claim","Secure","",""
"","53","Create Admin - No role","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","54","Create Admin - No email","All Endponts for QA","Wed Jul 23 13:07:29 UTC 2025","failed","Wed Jul 23 13:07:29 UTC 2025","","Admin","",""
"","46","Create  Insurance","All Endponts for QA","Wed Jul 23 13:07:31 UTC 2025","passed","Wed Jul 23 13:07:32 UTC 2025","Insurance","Secure","",""
"","145","Admin Login - Invalid credentials","All Endponts for QA","Wed Jul 23 13:07:28 UTC 2025","failed","Wed Jul 23 13:07:28 UTC 2025","","Admin","",""
"","46","Create  Market","All Endponts for QA","Wed Jul 23 13:07:33 UTC 2025","passed","Wed Jul 23 13:07:33 UTC 2025","Market","Secure","",""
"","226","Handle Session Requests","All Endponts for QA","Wed Jul 23 13:07:31 UTC 2025","passed","Wed Jul 23 13:07:31 UTC 2025","","USSD","",""
"","44","Get Insurance - For Single Farmer","All Endponts for QA","Wed Jul 23 13:07:31 UTC 2025","passed","Wed Jul 23 13:07:31 UTC 2025","Insurance","Secure","",""
"","44","Delete claim records for a specific farmer","All Endponts for QA","Wed Jul 23 13:07:32 UTC 2025","passed","Wed Jul 23 13:07:32 UTC 2025","Claim","Secure","",""
"","136","Get Market - For Single Farmer","All Endponts for QA","Wed Jul 23 13:07:33 UTC 2025","passed","Wed Jul 23 13:07:33 UTC 2025","Market","Secure","",""
"","46","Delete market records for a specific farmer","All Endponts for QA","Wed Jul 23 13:07:33 UTC 2025","passed","Wed Jul 23 13:07:33 UTC 2025","Market","Secure","",""
